Date,Category,City,Units_Sold,Unit_Price,Revenue,Customer_Count,Avg_Customer_Age,Promotion,Month,Weekday,Weekday_Num,Is_Weekend,Promotion_Label
2024-01-01,Electronics,Hyderabad,15,238.87,3583.05,10,25.1,0,1,Monday,0,0,No Promotion
2024-01-01,Clothing,Mumbai,38,43.6,1656.8,25,38.6,0,1,Monday,0,0,No Promotion
2024-01-01,Groceries,Hyderabad,100,11.98,1198.0,53,21.6,0,1,Monday,0,0,No Promotion
2024-01-01,Furniture,Chennai,0,380.49,0.0,1,22.3,0,1,Monday,0,0,No Promotion
2024-01-01,Toys,Hyderabad,22,29.72,653.8399999999999,13,29.6,0,1,Monday,0,0,No Promotion
2024-01-02,Electronics,Chennai,11,237.77,2615.4700000000003,5,45.6,0,1,Tuesday,1,0,No Promotion
2024-01-02,Clothing,Hyderabad,31,46.99,1456.69,24,33.9,0,1,Tuesday,1,0,No Promotion
2024-01-02,Groceries,Hyderabad,99,12.05,1192.95,46,19.5,0,1,Tuesday,1,0,No Promotion
2024-01-02,Furniture,Mumbai,6,367.81,2206.86,4,42.6,0,1,Tuesday,1,0,No Promotion
2024-01-02,Toys,Mumbai,23,29.72,683.56,10,34.3,0,1,Tuesday,1,0,No Promotion
2024-01-03,Electronics,Bengaluru,16,252.54,4040.64,8,36.3,0,1,Wednesday,2,0,No Promotion
2024-01-03,Clothing,Bengaluru,31,47.02,1457.6200000000001,13,21.8,0,1,Wednesday,2,0,No Promotion
2024-01-03,Groceries,Hyderabad,94,10.8,1015.2,46,34.0,0,1,Wednesday,2,0,No Promotion
2024-01-03,Furniture,Hyderabad,5,373.0,1865.0,4,50.2,0,1,Wednesday,2,0,No Promotion
2024-01-03,Toys,Bengaluru,19,30.53,580.07,8,33.0,0,1,Wednesday,2,0,No Promotion
2024-01-04,Electronics,Bengaluru,18,258.16,4646.88,8,41.7,0,1,Thursday,3,0,No Promotion
2024-01-04,Clothing,Hyderabad,36,44.99,1619.64,32,22.1,0,1,Thursday,3,0,No Promotion
2024-01-04,Groceries,Mumbai,75,11.82,886.5,44,36.6,0,1,Thursday,3,0,No Promotion
2024-01-04,Furniture,Hyderabad,4,368.15,1472.6,2,39.9,0,1,Thursday,3,0,No Promotion
2024-01-04,Toys,Bengaluru,23,30.78,707.94,10,34.2,0,1,Thursday,3,0,No Promotion
2024-01-05,Electronics,Hyderabad,14,239.28,3349.92,6,36.9,0,1,Friday,4,0,No Promotion
2024-01-05,Clothing,Chennai,31,40.51,1255.81,22,38.6,0,1,Friday,4,0,No Promotion
2024-01-05,Groceries,Hyderabad,79,10.95,865.05,33,26.5,0,1,Friday,4,0,No Promotion
2024-01-05,Furniture,Delhi,1,403.73,403.73,1,34.3,0,1,Friday,4,0,No Promotion
2024-01-05,Toys,Hyderabad,20,28.54,570.8,10,29.6,0,1,Friday,4,0,No Promotion
2024-01-06,Electronics,Hyderabad,14,265.71,3719.9399999999996,8,44.7,0,1,Saturday,5,1,No Promotion
2024-01-06,Clothing,Delhi,41,44.26,1814.6599999999999,19,35.1,0,1,Saturday,5,1,No Promotion
2024-01-06,Groceries,Delhi,119,11.52,1370.8799999999999,85,28.3,0,1,Saturday,5,1,No Promotion
2024-01-06,Furniture,Delhi,7,406.74,2847.1800000000003,4,32.9,0,1,Saturday,5,1,No Promotion
2024-01-06,Toys,Delhi,23,29.96,689.08,12,27.5,0,1,Saturday,5,1,No Promotion
2024-01-07,Electronics,Hyderabad,24,236.15,5667.6,11,48.4,1,1,Sunday,6,1,Promotion
2024-01-07,Clothing,Hyderabad,59,44.01,2596.5899999999997,25,41.3,1,1,Sunday,6,1,Promotion
2024-01-07,Groceries,Hyderabad,166,12.01,1993.6599999999999,115,41.8,1,1,Sunday,6,1,Promotion
2024-01-07,Furniture,Bengaluru,4,398.04,1592.16,2,33.6,1,1,Sunday,6,1,Promotion
2024-01-07,Toys,Delhi,41,31.25,1281.25,18,30.4,1,1,Sunday,6,1,Promotion
2024-01-08,Electronics,Chennai,18,260.92,4696.56,7,49.8,0,1,Monday,0,0,No Promotion
2024-01-08,Clothing,Mumbai,24,46.84,1124.16,19,34.9,0,1,Monday,0,0,No Promotion
2024-01-08,Groceries,Chennai,76,12.16,924.16,59,32.5,0,1,Monday,0,0,No Promotion
2024-01-08,Furniture,Chennai,3,351.24,1053.72,2,25.3,0,1,Monday,0,0,No Promotion
2024-01-08,Toys,Mumbai,22,30.61,673.42,10,28.4,0,1,Monday,0,0,No Promotion
2024-01-09,Electronics,Chennai,14,240.21,3362.94,12,38.4,0,1,Tuesday,1,0,No Promotion
